dish_name,dish_author,dish_views,dish_upvotes,dish_prep_time,dish_required_skill,dish_origin_cuisine,category_name
Franciacorta Risotto with Pears and Crisped Speck,Another Crackhead Chef,8,52,40,Advanced Beginner,French,Starter
random,el random,2,23,5,Advanced Beginner,local,Starter
This Is The One For Sure,This Is Its Update,,,25,Competent,Germany,Main
This is a Test MAin,Le Chef,1,1,25,Advanced Beginner,spanish,Starter
Chef's favourite,Chef,,,15,Advanced Beginner,italian,Starter
some random,el chef,4,56,30,Competent,blank,Dessert
Testing Update Values,for this ,2,41,121,Competent,spain,Intermediate
testing update function,testing name,3,,15,Competent,England,Intermediate
Adding Apritif,afgaegREGRER,3,22,55,Competent,Spain,Aperitif
Main Course,none,27,69,25,Proficient,Spain,Main
This is a Test MAin,This Is a Test Dish,,,25,Proficient,Spain,Main
This is a Test MAin,This Is a Test Dish,,,25,Competent,Spain,Starter
srath,wshtr,,,12,Competent,weht,Starter
